title,DICD,total_profit,Name
"해적: 바다로 간 산적",10055965,66372140706,이석훈
"뜨거운 안녕",10055965,315291000,이석훈
댄싱퀸,10055965,30130610500,이석훈
"두 얼굴의 여친",10055965,4586849000,이석훈
"방과후 옥상",10055965,4817252500,이석훈
"내부자들: 디 오리지널",20111283,16973885275,우민호
내부자들,20111283,56598333057,우민호
간첩,20111283,9316548500,우민호
"파괴된 사나이",20111283,7683092100,우민호
검사외전,10057103,77319445264,이일형
"군도: 민란의 시대",10057103,36985578499,이일형
"마이 웨이",10057103,15995187000,이일형
"비스티 보이즈",10057103,4785467000,이일형
택시운전사,10060674,95868830649,장훈
고지전,10060674,21968680600,장훈
의형제,10060674,40153729000,장훈
"영화는 영화다",10060674,8967441000,장훈
빈집,10060674,456077000,장훈
신부수업,10060674,4255397500,장훈
사마리아,10060674,285182500,장훈
"신과함께-인과 연",10005151,101795673609,김용화
"신과함께-죄와 벌",10005151,115706188137,김용화
"미스터 고",10005151,9337976000,김용화
"마이 웨이",10005151,15995187000,김용화
"국가대표 완결판-못 다한 이야기",10005151,2647781500,김용화
국가대표,10005151,57570773000,김용화
"미녀는 괴로워",10005151,36292848900,김용화
해빙,10056147,9905406822,이수연
"님아, 그 강을 건너지 마오",20187247,37356780079,박혁지
괴물,10061773,64802996000,정보서
괴물,10061773,66715881300,정보서
"가문의 영광4 - 가문의 수난",20157100,17792219500,정유원
"바람과 함께 사라지다",10026426,33243273161,모지은
"바람과 함께 사라지다",10026426,34614661161,모지은
아랑,10026426,5726173700,모지은
"화이트: 저주의 멜로디",10003598,5587166000,김곡
"무서운 이야기 3 : 화성에서 온 소녀",10003598,784148500,김곡
"무서운 이야기",10003598,2452368566,김곡
사마리아,20305731,285182500,이정향
사마리아,20240711,285182500,최유정
사마리아,20240710,285182500,노혜지
사마리아,20240709,285182500,신지수
집행자,10050404,2935796000,오석근
"목숨 건 연애",10037076,363098800,송민규
"마이 웨이",10037076,15995187000,송민규
"슈퍼스타 감사용",10037076,4073017000,송민규
"태극기 휘날리며",10037076,15687180500,송민규
올레,20211226,522848900,채두병
"당신이 잠든 사이에",10054393,447691500,윤여창
"블랙 가스펠",20112797,367328500,김성권
회복,20112797,1110827000,김성권
신기전,20112797,24326346000,김성권
신기전,20112797,4926508500,김성권
고지전,20140497,21968680600,김지연
"킹콩을 들다",20140497,8851802500,김지연
"더 게임",20140497,9807963501,김지연
"마을금고 연쇄습격사건",20140497,728085000,김지연
"플라이 대디",20140497,2558112300,김지연
"방과후 옥상",20140497,4817252500,김지연
"댄서의 순정",20140497,11674131000,김지연
"제니, 주노",20140497,1283847500,김지연
레슬러,10001939,6481379657,곽기혁
뫼비우스,20208686,255508579,번가남
"기억의 밤",10060606,10653271160,장항준
"끝까지 간다",10060606,27007303900,장항준
"귀신이 산다",10060606,11898748500,장항준
꾼,20148100,31313568795,장창원
평양성,20148100,12684530500,장창원
"반가운 살인자",20148100,4285830500,장창원
"님은 먼 곳에",20148100,11200872500,장창원
"즐거운 인생",20148100,7874566500,장창원
"라디오 스타",20148100,9860797500,장창원
"왕의 남자",20148100,66014775400,장창원
미옥,10056570,1930905564,이안규
"악마를 보았다",10056570,13403595000,이안규
"악마를 보았다",10056570,13919416500,이안규
"구르믈 버서난 달처럼",10056570,10241690500,이안규
"달콤한 인생",10056570,7233790500,이안규
"두 개의 문",10087658,488796800,한영희
"그래, 가족",10021332,350293300,마대윤
덕혜옹주,10021332,44068865409,마대윤
덕혜옹주,10021332,44395967609,마대윤
"더 폰",10021332,12309164568,마대윤
"탐정 : 더 비기닝",10021332,20463956973,마대윤
"방황하는 칼날",10021332,7828891800,마대윤
간첩,10021332,9316548500,마대윤
10억,10021332,3107403000,마대윤
눈길,10021332,976008100,마대윤
프리즌,10007424,23790276987,나현
"미안해 사랑해 고마워",10007424,359247800,나현
"남쪽으로 튀어",10007424,5970851500,나현
"마이 웨이",10007424,15995187000,나현
"마당을 나온 암탉",10007424,14670355000,나현
"그 남자의 책 198쪽",10007424,587173500,나현
"우리 생애 최고의 순간",10007424,26119699000,나현
"화려한 휴가",10007424,44098470600,나현
돌려차기,10007424,253673000,나현
"목포는 항구다",10007424,2673832500,나현
화장,10054185,1074486100,육상효
"강철대오:구국의 철가방",10054185,1614867156,육상효
"방가? 방가!",10054185,7013842000,육상효
"여자, 정혜",10054185,273120000,육상효
"달마야, 서울 가자",10054185,4469579500,육상효
형,10072147,23130188893,최낙권
"좋은 친구들",10072147,3222101031,최낙권
역린,10072147,29894157890,최낙권
"마이 리틀 히어로",10072147,1302907128,최낙권
"퍼펙트 게임",10072147,11220408500,최낙권
"두뇌유희프로젝트, 퍼즐",10072147,1450490000,최낙권
해어화,10061405,3768200759,전윤수
"미안해 사랑해 고마워",10061405,359247800,전윤수
"내 심장을 쏴라",10061405,2856859132,전윤수
미인도,10061405,15655329500,전윤수
식객,10061405,18979312500,전윤수
파랑주의보,10061405,1453890000,전윤수
소공녀,20305389,472553700,안지영
빈집,20305250,456077000,신현진
"더 킹",20124455,43488814535,안형혜
하녀,10026500,17038639000,모현신
"우리 학교",20214911,210875100,박소현
"두 개의 문",10005439,488796800,김일란
우리들,20285289,340297960,이효정
우리들,20263469,340297960,홍유라
"끝과 시작",20276149,274964000,정현정
비밀,10028514,369339300,박기형
"살인자의 기억법",20303891,21375287492,전승표
1987,10060507,58167040145,장준환
"화이: 괴물을 삼킨 아이",10060507,17695683795,장준환
"리틀 포레스트",10058650,11924818185,임순례
글로리데이,10058650,1486835668,임순례
제보자,10058650,13515762802,임순례
"남쪽으로 튀어",10058650,5970851500,임순례
"우리 생애 최고의 순간",10058650,26119699000,임순례
침묵,10062256,3930219264,정지우
4등,10062256,284073700,정지우
은교,10062256,9917948044,정지우
이끼,10062256,25437192500,정지우
모던보이,10062256,4992149500,정지우
사랑니,10062256,867603000,정지우
강철비,20167784,35489666466,양우석
변호인,20167784,82871781800,양우석
"1724 기방난동사건",10049723,1897970000,여균동
소셜포비아,20237246,1977196563,조현민
스파이,20155828,24509278305,임상수
"오싹한 연애",20155828,22010977000,임상수
"범죄의 여왕",20249882,326980700,부은주
소셜포비아,20204065,1977196563,이준필
사냥,20186154,4912658515,오원재
"내 심장을 쏴라",20080184,2856859132,백승빈
"무서운 이야기 3 : 화성에서 온 소녀",20080184,784148500,백승빈
보안관,20191706,20844488409,이윤미
조선마술사,20191706,4650016527,이윤미
"그대를 사랑합니다",20289829,12042571000,이우석
형,20235810,23130188893,이제욱
극비수사,20235810,22389535897,이제욱
"말하는 건축가",10062188,307694700,정재은
태풍태양,10062188,304884500,정재은
대립군,10062089,6276963402,정윤철
그랜드파더,10062089,230206600,정윤철
"내 심장을 쏴라",10062089,2856859132,정윤철
"슈퍼맨이었던 사나이",10062089,3642176500,정윤철
"좋지 아니한가",10062089,1849140000,정윤철
말아톤,10062089,26284943000,정윤철
"범죄의 여왕",10006078,326980700,김태곤
"굿바이 싱글",10006078,16912706195,김태곤
연리지,10006078,696954300,김태곤
"아기와 나",20111288,2641412500,유영식
"죽여주는 여자",20111288,884934300,유영식
"국가대표 2",20111288,5474392042,유영식
"성실한 나라의 앨리스",20111288,349943500,유영식
소셜포비아,20111288,1977196563,유영식
"화이트: 저주의 멜로디",20111288,5587166000,유영식
"좋지 아니한가",20111288,1849140000,유영식
오감도,20111288,3074373500,유영식
레슬러,20287367,6481379657,김대웅
리턴,10043285,4271865500,"안드레이 즈비아긴체프"
바람,20142402,746323500,백미영
하루,20166880,9072737842,장우진
무영검,20159361,3306109500,오정민
"기다리다 미쳐",10062136,2865110500,정인봉
범죄도시,20135271,56322098349,강윤성
"슈퍼 프렌즈",20111323,663075600,이경호
"코알라 키드 : 영웅의 탄생",20111323,1439227500,이경호
파이스토리,20111323,1306030500,이경호
초능력자,10004184,15374798000,김민석
"달콤한 인생",10004184,7233790500,김민석
"R2B: 리턴투베이스",10003972,8525038871,김동원
"유감스러운 도시",10003972,10289635500,김동원
투사부일체,10003972,31959686000,김동원
사과,10036855,384127000,손수범
"다이노X 탐험대",20234026,641289900,이동희
"로마의 휴일",20111036,993321176,이덕희
창수,20111036,3146542000,이덕희
"시간위의 집",10058504,1020724600,임대웅
"스승의 은혜",10058504,3474239000,임대웅
"무서운 이야기",10058504,2452368566,임대웅
"비정규직 특수요원",10003883,1150732700,김덕수
"아빠를 빌려드립니다",10003883,1190329500,김덕수
"이장과 군수",10003883,7594186000,김덕수
"작업의 정석",10003883,11706585100,김덕수
"여선생 VS 여제자",10003883,5265267506,김덕수
대배우,20122507,1246200228,석민우
"악마를 보았다",20122507,13403595000,석민우
"악마를 보았다",20122507,13919416500,석민우
박쥐,20122507,14835559500,석민우
"싸이보그지만 괜찮아",20122507,3983748800,석민우
"친절한 금자씨",20122507,20483051393,석민우
올드보이,20122507,1928502500,석민우
"쓰리 몬스터",20122507,1159253000,석민우
"석조저택 살인사건",10061563,2829106886,정식
미쓰GO,10061563,4441859000,정식
기담,10061563,4124164500,정식
"야수와 미녀",10061563,8378297000,정식
올드보이,10061563,1928502500,정식
"쓰리 몬스터",10061563,1159253000,정식
"무현, 두 도시 이야기",20153728,1519091100,전인환
순정,20140739,1738293033,이은희
"더 폰",20128476,12309164568,김봉주
"시체가 돌아왔다",20128476,7360631000,김봉주
황해,20128476,17497165500,김봉주
"거북이 달린다",20128476,20618276000,김봉주
신기전,20128476,24326346000,김봉주
신기전,20128476,4926508500,김봉주
"B형 남자친구",20128476,7324579000,김봉주
"사랑하기 때문에",10069178,2673489440,주지홍
보통사람,10004369,2956397623,김봉한
원라인,20182346,3319505433,양경모
"터닝메카드W: 블랙미러의 부활",20251869,3215588500,홍헌표
리얼,20254349,3357912530,이사랑
계춘할망,10071587,3599680348,창
표적,10071587,22256769300,창
"고死 : 피의 중간고사",10071587,10204359000,창
사냥,10056854,4912658515,이우철
7광구,10056854,19391653500,이우철
"첼로-홍미주 일가 살인사건",10056854,985067500,이우철
"해피 에로 크리스마스",10056854,459220000,이우철
"널 기다리며",10026501,5234303336,모홍진
"우리 동네",10026501,2463752000,모홍진
"아빠는 딸",20230906,5054757395,김형협
스플릿,10072117,6102712539,최국희
극장전,10072117,262191500,최국희
"탐정: 리턴즈",10056602,26909477678,이언희
"미씽: 사라진 여자",10056602,8882181256,이언희
타이밍,10056602,291240500,이언희
"어깨 너머의 연인",10056602,1974664500,이언희
"해피 에로 크리스마스",10056602,459220000,이언희
...ing,10056602,217269000,이언희
하루,20131018,9072737842,조선호
"더 웹툰: 예고살인",20131018,8537683070,조선호
"홍길동의 후예",20131018,4259705000,조선호
원스어폰어타임,20131018,10136738500,조선호
"소년은 울지 않는다",20131018,601853500,조선호
"김관장 대 김관장 대 김관장",20131018,5575404600,조선호
"특별수사: 사형수의 편지",10002517,9929947065,권종관
"썬데이 서울",10002517,227157000,권종관
새드무비,10002517,5628200500,권종관
"S 다이어리",10002517,7024070500,권종관
"봉이 김선달",10028545,16226580642,박대민
"그림자 살인",10028545,12659065000,박대민
애인,10028545,625824000,박대민
보안관,20131894,20844488409,김형주
"군도: 민란의 시대",20131894,36985578499,김형주
"R2B: 리턴투베이스",20131894,8525038871,김형주
"나는 왕이로소이다",20131894,5454304904,김형주
"달빛 길어올리기",20131894,362910000,김형주
