,title,ActorCD,ActorAvgP,ActorSumP,ActorMinP,ActorMaxP
86,그것만이 내 세상,10055626,23303988239.0,326256000000.0,1159253000,88908642769
87,귀향,10036856,17683544159.0,53050632476.0,262191500,27248705990
88,마녀,20302909,14235870178.0,28471740355.0,1229698892,27242041463
89,끝까지 간다,10055970,7475272746.0,149505000000.0,273384900,34222160500
90,탐정: 리턴즈,10002387,11007491975.0,110075000000.0,3837152000,26909477678
91,7급 공무원,10006171,17422181100.0,191644000000.0,363240500,115706188137
92,말아톤,10066380,24173591466.0,265910000000.0,240262112,98463522781
93,우리 생애 최고의 순간,10026732,11552042921.0,219489000000.0,237013700,58167040145
94,부러진 화살,10043371,15195210043.0,273514000000.0,1074486100,44098470600
95,아이 캔 스피크,10006877,16706782390.0,183775000000.0,1545587500,62697419249
96,이끼,10062184,11004243706.0,264102000000.0,327192000,40328508500
97,쌍화점,10066899,26855078512.0,80565235535.0,11664597600,43488814535
98,스파이,10035772,19385766013.0,426487000000.0,759481000,81025004000
99,포화속으로,10071140,10677273678.0,160159000000.0,599122500,43484892913
100,프리즌,10087518,11578478561.0,150520000000.0,934380300,52355568637
101,스물,20170901,30832731962.0,123331000000.0,19894297783,58068236865
102,형,20121022,22748786132.0,181990000000.0,1614867156,66007533500
103,퀵,20166879,20723095423.0,165785000000.0,594082500,95868830649
104,방자전,10005749,11122265806.0,200201000000.0,844714600,63783051326
105,극비수사,10005276,24665075936.0,690622000000.0,1453890000,93665632500
106,표적,10019065,28834863777.0,663202000000.0,230047000,135753322310
107,태풍,10006392,13164504267.0,78987025600.0,8842295700,22209675300
108,헬로우 고스트,10071209,20126261981.0,301894000000.0,459220000,115706188137
109,오싹한 연애,10036883,23056183424.0,368899000000.0,2027581239,66372140706
110,고지전,10040665,10463864360.0,167422000000.0,522848900,40328508500
111,친구 2,10053861,8071799496.0,56502596474.0,2856859132,21804687513
112,감기,10060612,7480740869.0,59845926951.0,1077451000,21774884000
113,하모니,10005297,24064494314.0,192516000000.0,1020724600,110933981730
114,곤지암,20301569,21442169144.0,21442169144.0,21442169144,21442169144
115,목격자,20110148,22098064665.0,353569000000.0,1302907128,82871781800
116,살인자의 기억법,10035772,19385766013.0,426487000000.0,759481000,81025004000
117,26년,10070417,25541894614.0,434212000000.0,329280000,135753322310
118,부당거래,10090290,26051666498.0,755498000000.0,273120000,110933981730
119,보안관,20110148,22098064665.0,353569000000.0,1302907128,82871781800
120,지금 만나러 갑니다,10036685,19238221159.0,96191105796.0,7591008500,50510565168
121,거북이 달린다,10005276,24665075936.0,690622000000.0,1453890000,93665632500
122,한반도,10066929,7553381937.0,83087201311.0,255508579,29894157890
123,아수라,10062025,15739386249.0,220351000000.0,2139360500,43488814535
124,친절한 금자씨,10056670,20483051393.0,20483051393.0,20483051393,20483051393
125,탐정 : 더 비기닝,10002387,11007491975.0,110075000000.0,3837152000,26909477678
126,내가 살인범이다,10062184,11004243706.0,264102000000.0,327192000,40328508500
127,조작된 도시,20187851,9414134529.0,28242403587.0,2296093000,20143992587
128,공공의 적 2,10035772,19385766013.0,426487000000.0,759481000,81025004000
129,마더,10006390,9542629122.0,28627887365.0,2329754965,19967462500
130,기술자들,20170901,30832731962.0,123331000000.0,19894297783,58068236865
131,조선명탐정: 흡혈괴마의 비밀,10004060,15764048766.0,236461000000.0,1246200228,36067171064
132,시라노; 연애조작단,10047367,11162693000.0,122790000000.0,1194185500,30220536000
133,신기전,10062184,11004243706.0,264102000000.0,327192000,40328508500
134,7광구,10087280,13632511792.0,177223000000.0,363098800,81025004000
135,후궁 : 제왕의 첩,10066680,14375666330.0,86253997979.0,1201963479,22486492000
136,재심,10062023,9114386351.0,136716000000.0,253673000,60175111015
137,위험한 상견례,10037095,9384765472.0,131387000000.0,357963117,22486492000
138,타짜-신의 손,10072431,12851262605.0,77107575630.0,209955500,32373120927
139,워낭소리,10072544,19075737900.0,19075737900.0,19075737900,19075737900
140,식객,10003507,6640451677.0,126169000000.0,304884500,18979312500
141,굿모닝 프레지던트,20166869,8236128375.0,32944513500.0,440536500,18567863300
142,소원,10035772,19385766013.0,426487000000.0,759481000,81025004000
143,화차,10055970,7475272746.0,149505000000.0,273384900,34222160500
144,블라인드,10006171,17422181100.0,191644000000.0,363240500,115706188137
145,박열,10057349,15944309591.0,127554000000.0,1658653000,30220536000
146,너의 결혼식,10028667,15135598461.0,151356000000.0,748936684,53800771400
147,반창꼬,10001656,11793168277.0,117932000000.0,759481000,31225419792
148,의뢰인,10029595,10996595329.0,241925000000.0,327192000,58167040145
149,가문의 영광4 - 가문의 수난,10004748,9956980551.0,189183000000.0,389374500,28622355500
150,강남 1970,20185376,16838975700.0,50516927099.0,4159767500,28638460100
151,강남 1970,20111408,12634170924.0,50536683695.0,9731838195,18979312500
152,화이: 괴물을 삼킨 아이,10049790,15005385746.0,90032314474.0,284106600,58167040145
153,너는 내 운명,10061252,7532783870.0,75327838698.0,1651122533,17653752500
154,그놈 목소리,10035772,19385766013.0,426487000000.0,759481000,81025004000
155,황해,10005276,24665075936.0,690622000000.0,1453890000,93665632500
156,악의 연대기,20111125,11915827646.0,142990000000.0,243405000,48700887413
157,하녀,10061252,7532783870.0,75327838698.0,1651122533,17653752500
158,내부자들: 디 오리지널,20231126,59580494194.0,178741000000.0,16973885275,105169264250
159,굿바이 싱글,10006380,25105599624.0,351478000000.0,1849140000,93665632500
160,마파도,10004748,9956980551.0,189183000000.0,389374500,28622355500
161,나의 사랑 나의 신부,20121022,22748786132.0,181990000000.0,1614867156,66007533500
162,봉이 김선달,10053782,6490199697.0,64901996969.0,309575000,18390012500
163,뷰티 인사이드,10087820,20633201751.0,206332000000.0,637892500,88908642769
164,가문의 부활 - 가문의 영광3,10040687,9166187590.0,91661875900.0,386192500,28622355500
165,마이 웨이,10060114,13187245466.0,92310718259.0,3969337524,22209675300
166,이웃사람,10005297,24064494314.0,192516000000.0,1020724600,110933981730
167,쩨쩨한 로맨스,10055970,7475272746.0,149505000000.0,273384900,34222160500
168,태극기 휘날리며,10060114,13187245466.0,92310718259.0,3969337524,22209675300
169,미인도,10004185,5791319750.0,23165279000.0,2139483000,15655329500
170,내 사랑 내 곁에,10087280,13632511792.0,177223000000.0,363098800,81025004000
171,1번가의 기적,10087280,13632511792.0,177223000000.0,363098800,81025004000
172,초능력자,10000558,24448106931.0,464514000000.0,1859615500,77319445264
173,몽타주,10047352,12200116229.0,195202000000.0,274964000,81025004000
174,음란서생,10087518,11578478561.0,150520000000.0,934380300,52355568637
175,우리들의 행복한 시간,10000558,24448106931.0,464514000000.0,1859615500,77319445264
176,오늘의 연애,10056227,12701764963.0,25403529925.0,10478875438,14924654487
177,박쥐,10037018,37632110651.0,677378000000.0,4243936350,95868830649
178,내 생애 가장 아름다운 일주일,10090290,26051666498.0,755498000000.0,273120000,110933981730
179,마당을 나온 암탉,10026732,11552042921.0,219489000000.0,237013700,58167040145
180,노무현입니다,10008060,8039054356.0,16078108712.0,1519091100,14559017612
181,남자가 사랑할 때,10090290,26051666498.0,755498000000.0,273120000,110933981730
182,바르게 살자,10062184,11004243706.0,264102000000.0,327192000,40328508500
183,나의 PS 파트너,10069957,5280222346.0,15840667037.0,251079500,12367486506
184,연애의 온도,10055447,16929219775.0,186221000000.0,1006594000,81025004000
185,글러브,10000736,14565679426.0,305879000000.0,311840500,36067171064
186,해결사,20183236,15191410570.0,136723000000.0,3460460230,27007303900
187,세븐 데이즈,10005297,24064494314.0,192516000000.0,1020724600,110933981730
188,애자,20166040,16512777750.0,33025555500.0,13633902000,19391653500
189,아이들...,10028989,7364739057.0,95741607739.0,937877400,13579712500
190,쎄시봉,10005276,24665075936.0,690622000000.0,1453890000,93665632500
191,제보자,10029474,20772740015.0,415455000000.0,470675000,66715881300
192,대호,10072251,31786860561.0,445016000000.0,1928502500,135753322310
193,색즉시공 시즌2,10058849,6756739352.0,128378000000.0,640343800,15494034100
194,코리아,10087280,13632511792.0,177223000000.0,363098800,81025004000
195,사랑,20111954,15140353241.0,317947000000.0,384127000,77319445264
196,"달콤, 살벌한 연인",10028989,7364739057.0,95741607739.0,937877400,13579712500
197,악마를 보았다,10055626,23303988239.0,326256000000.0,1159253000,88908642769
198,극락도 살인사건,10029474,20772740015.0,415455000000.0,470675000,66715881300
199,눈에는 눈 이에는 이,10087518,11578478561.0,150520000000.0,934380300,52355568637
200,타짜-신의 손,10072431,12851262605.0,77107575630.0,209955500,32373120927
201,러브픽션,10087253,29076804145.0,901381000000.0,274134500,115706188137
202,박수칠 때 떠나라,10071140,10677273678.0,160159000000.0,599122500,43484892913
203,집으로 가는 길,10061252,7532783870.0,75327838698.0,1651122533,17653752500
204,광식이 동생 광태,10005749,11122265806.0,200201000000.0,844714600,63783051326
205,전설의 주먹,10090290,26051666498.0,755498000000.0,273120000,110933981730
206,평양성,10062279,22083707750.0,419590000000.0,230206600,110933981730
207,그림자 살인,20166542,9030723900.0,72245791200.0,969489100,33986449500
208,임금님의 사건수첩,10055970,7475272746.0,149505000000.0,273384900,34222160500
209,차우,10047367,11162693000.0,122790000000.0,1194185500,30220536000
210,혈의 누,10071140,10677273678.0,160159000000.0,599122500,43484892913
211,공범,10036883,23056183424.0,368899000000.0,2027581239,66372140706
212,더 폰,20111125,11915827646.0,142990000000.0,243405000,48700887413
213,불꽃처럼 나비처럼,20166663,5436347350.0,32618084100.0,460596500,12302961500
214,맨발의 기봉이,10040687,9166187590.0,91661875900.0,386192500,28622355500
215,아내가 결혼했다,10036883,23056183424.0,368899000000.0,2027581239,66372140706
216,그대를 사랑합니다,10056199,9695144840.0,48475724200.0,542739500,18567863300
217,차이나타운,10006380,25105599624.0,351478000000.0,1849140000,93665632500
218,리틀 포레스트,20201026,35101029440.0,105303000000.0,11924818185,58167040145
219,내 머리 속의 지우개,10062025,15739386249.0,220351000000.0,2139360500,43488814535
220,귀신이 산다,10005374,13780269197.0,413408000000.0,250534000,105169264250
221,파파로티,10087518,11578478561.0,150520000000.0,934380300,52355568637
222,부라더,10021341,29021857168.0,725546000000.0,315291000,115706188137
223,하울링,10037018,37632110651.0,677378000000.0,4243936350,95868830649
224,우아한 거짓말,10006537,9624543119.0,38498172476.0,2500814949,13571515911
225,작업의 정석,10036883,23056183424.0,368899000000.0,2027581239,66372140706
226,해무(海霧),10005276,24665075936.0,690622000000.0,1453890000,93665632500
227,피끓는 청춘,10028667,15135598461.0,151356000000.0,748936684,53800771400
228,댄서의 순정,10028409,3976121250.0,15904485000.0,659079000,11674131000
229,비열한 거리,10066899,26855078512.0,80565235535.0,11664597600,43488814535
230,무적자,20111954,15140353241.0,317947000000.0,384127000,77319445264
231,탐정 홍길동: 사라진 마을,10057349,15944309591.0,127554000000.0,1658653000,30220536000
232,골든슬럼버,10000558,24448106931.0,464514000000.0,1859615500,77319445264
233,인간중독,10037116,5933438626.0,41534070384.0,363240500,11629780500
234,용의자X,10019067,8944762143.0,187840000000.0,426257300,52355568637
235,퍼펙트 게임,10066380,24173591466.0,265910000000.0,240262112,98463522781
236,님은 먼 곳에,10037539,7967388451.0,79673884505.0,1073144500,21774884000
237,우리 형,10052465,26742042700.0,133710000000.0,11090682500,47102707500
238,브이아이피,20294389,63331404986.0,126663000000.0,10956621835,115706188137
239,사생결단,10019067,8944762143.0,187840000000.0,426257300,52355568637
240,실미도,10035772,19385766013.0,426487000000.0,759481000,81025004000
241,바람피기 좋은 날,10006380,25105599624.0,351478000000.0,1849140000,93665632500
242,사라진 밤,10004396,11196881099.0,134363000000.0,262191500,44098470600
243,기억의 밤,20111688,13697294293.0,150670000000.0,3554806054,44382020516
244,무방비도시,10004060,15764048766.0,236461000000.0,1246200228,36067171064
245,특별시민,10072251,31786860561.0,445016000000.0,1928502500,135753322310
246,궁합,10040874,15476710846.0,278581000000.0,230047000,88908642769
247,장산범,10049852,9084123320.0,99925356522.0,1258000500,44092710000
248,유감스러운 도시,10062240,12037769525.0,144453000000.0,220051200,55069686503
249,밀양,10061252,7532783870.0,75327838698.0,1651122533,17653752500
250,구르믈 버서난 달처럼,10090290,26051666498.0,755498000000.0,273120000,110933981730
251,고死 : 피의 중간고사,10055581,9494841056.0,189897000000.0,220051200,55069686503
252,원스어폰어타임,10028989,7364739057.0,95741607739.0,937877400,13579712500
253,구세주,10072338,4545859263.0,36366874100.0,312851500,13466476000
254,작전,10029002,10086067500.0,10086067500.0,10086067500,10086067500
255,런닝맨,10040665,10463864360.0,167422000000.0,522848900,40328508500
256,특별수사: 사형수의 편지,10004060,15764048766.0,236461000000.0,1246200228,36067171064
257,은교,10029474,20772740015.0,415455000000.0,470675000,66715881300
258,해빙,10067353,22066928181.0,882677000000.0,235292500,135753322310
259,라디오 스타,10029293,16931436810.0,169314000000.0,362910000,81025004000
260,연애의 목적,10000955,6262909732.0,68892007055.0,386192500,40328508500
261,더 게임,10031400,13303566995.0,252768000000.0,250534000,66715881300
262,권순분여사 납치사건,20166451,19010435000.0,95052175000.0,4926508500,44092710000
263,청춘만화,10002387,11007491975.0,110075000000.0,3837152000,26909477678
264,바람 바람 바람,20110148,22098064665.0,353569000000.0,1302907128,82871781800
265,차형사,10000877,11375417949.0,45501671796.0,400965500,26380710000
266,악녀,10005064,6875921704.0,75635138749.0,1728722300,21968680600
267,시간이탈자,10058646,10310393795.0,123725000000.0,217269000,44092710000
268,흡혈형사 나도열,10004744,8035217370.0,136599000000.0,515508500,57570773000
269,점박이:한반도의 공룡3D,20113891,4004925500.0,12014776500.0,750901000,9621468000
270,청담보살,10058849,6756739352.0,128378000000.0,640343800,15494034100
271,챔피언,10021341,29021857168.0,725546000000.0,315291000,115706188137
272,"당신, 거기 있어줄래요",10005276,24665075936.0,690622000000.0,1453890000,93665632500
273,간기남,10029595,10996595329.0,241925000000.0,327192000,58167040145
274,미스터 고,10035342,9337976000.0,9337976000.0,9337976000,9337976000
275,주먹이 운다(Crying Fist),10072251,31786860561.0,445016000000.0,1928502500,135753322310
276,간첩,10004060,15764048766.0,236461000000.0,1246200228,36067171064
277,심야의 F.M.,10037539,7967388451.0,79673884505.0,1073144500,21774884000
278,찌라시: 위험한 소문,10003507,6640451677.0,126169000000.0,304884500,18979312500
279,하루,10004060,15764048766.0,236461000000.0,1246200228,36067171064
280,궁녀,20110927,8917936683.0,53507620100.0,3122965500,23831958600
281,복면달호,10071209,20126261981.0,301894000000.0,459220000,115706188137
282,영화는 영화다,10036685,19238221159.0,96191105796.0,7591008500,50510565168
283,빅매치,10057315,51004139315.0,714058000000.0,220051200,115706188137
284,간신,10069179,31476897055.0,314769000000.0,931460100,115706188137
285,슬로우 비디오,10071209,20126261981.0,301894000000.0,459220000,115706188137
286,미씽: 사라진 여자,20268129,8882181256.0,8882181256.0,8882181256,8882181256
287,동주,20111688,13697294293.0,150670000000.0,3554806054,44382020516
288,킹콩을 들다,10055581,9494841056.0,189897000000.0,220051200,55069686503
289,조폭마누라3,20233266,3479824531.0,17399122653.0,728085000,8851336500
290,검은 집,10006392,13164504267.0,78987025600.0,8842295700,22209675300
291,"날, 보러와요",20066563,9520451069.0,104725000000.0,297957300,22960890000
292,돈의 맛,10003507,6640451677.0,126169000000.0,304884500,18979312500
293,바람의 파이터,10046888,3937341956.0,35436077600.0,303851500,11220408500
294,거룩한 계보,10062184,11004243706.0,264102000000.0,327192000,40328508500
295,장수상회,20239046,8737864643.0,8737864643.0,8737864643,8737864643
296,성난 변호사,20238986,7989665618.0,31958662470.0,347980800,16155829131
297,육혈포 강도단,10006877,16706782390.0,183775000000.0,1545587500,62697419249
298,용서는 없다,10035772,19385766013.0,426487000000.0,759481000,81025004000
299,중천,10062025,15739386249.0,220351000000.0,2139360500,43488814535
300,깡철이,10053802,23369531795.0,233695000000.0,292031500,105169264250
301,더 웹툰: 예고살인,10056359,10024273469.0,70169914283.0,2705566500,28811011456
302,R2B: 리턴투베이스,20235446,26526906997.0,159161000000.0,218173300,115706188137
303,R2B: 리턴투베이스,20160110,7780811000.0,7780811000.0,7780811000,7780811000
304,결혼전야,10003507,6640451677.0,126169000000.0,304884500,18979312500
305,야수와 미녀,10019067,8944762143.0,187840000000.0,426257300,52355568637
306,마파도2,10004748,9956980551.0,189183000000.0,389374500,28622355500
307,가문의 영광5 - 가문의 귀환,20180809,13120808644.0,26241617287.0,8330342500,17911274787
308,내 여자친구를 소개합니다,10061467,50583327745.0,354083000000.0,3642176500,98463522781
309,회사원,10036685,19238221159.0,96191105796.0,7591008500,50510565168
310,간 큰 가족,10000461,12061370462.0,96490963693.0,273950500,66014775400
311,김종욱 찾기,10058646,10310393795.0,123725000000.0,217269000,44092710000
312,고령화 가족,20189890,3719554345.0,22317326070.0,357963117,8169492153
313,그놈이다,20112931,5979715706.0,29898578531.0,3396292000,8098811152
314,특수본,20189890,3719554345.0,22317326070.0,357963117,8169492153
315,오빠생각,20304870,9817333316.0,29451999949.0,811692000,20579716662
316,늑대의 유혹,10000558,24448106931.0,464514000000.0,1859615500,77319445264
317,베스트셀러,10047352,12200116229.0,195202000000.0,274964000,81025004000
318,공모자들,10058849,6756739352.0,128378000000.0,640343800,15494034100
319,시크릿,10071140,10677273678.0,160159000000.0,599122500,43484892913
320,수상한 고객들,10054569,7953428000.0,7953428000.0,7953428000,7953428000
321,홀리데이,20111504,3683228127.0,33149053142.0,363240500,9072737842
322,즐거운 인생,10004448,11877560472.0,415715000000.0,728085000,44092710000
323,방황하는 칼날,20233327,16925756463.0,33851512926.0,16155829131,17695683795
324,만남의 광장,10058849,6756739352.0,128378000000.0,640343800,15494034100
325,인사동 스캔들,10004028,8240750705.0,74166756349.0,217269000,23790276987
326,황진이,10037291,5695629769.0,28478148847.0,713525000,12291081634
327,행복,10090290,26051666498.0,755498000000.0,273120000,110933981730
328,못말리는 결혼,10004748,9956980551.0,189183000000.0,389374500,28622355500
329,파괴된 사나이,10004060,15764048766.0,236461000000.0,1246200228,36067171064
330,불한당: 나쁜 놈들의 세상,10035772,19385766013.0,426487000000.0,759481000,81025004000
331,허브,10000955,6262909732.0,68892007055.0,386192500,40328508500
332,심장이 뛴다,10005297,24064494314.0,192516000000.0,1020724600,110933981730
333,이장과 군수,10071140,10677273678.0,160159000000.0,599122500,43484892913
334,오직 그대만,10036685,19238221159.0,96191105796.0,7591008500,50510565168
335,염력,10019065,28834863777.0,663202000000.0,230047000,135753322310
336,각설탕,10058646,10310393795.0,123725000000.0,217269000,44092710000
337,6년째 연애중,10006171,17422181100.0,191644000000.0,363240500,115706188137
338,서양 골동 양과자점 앤티크,10069179,31476897055.0,314769000000.0,931460100,115706188137
339,해적: 바다로 간 산적,10003788,17673107185.0,212077000000.0,263049900,66372140706
340,허삼관,10087253,29076804145.0,901381000000.0,274134500,115706188137
341,미쓰 와이프,10047352,12200116229.0,195202000000.0,274964000,81025004000
342,시체가 돌아왔다,10055581,9494841056.0,189897000000.0,220051200,55069686503
343,시실리 2km,10002465,4314296038.0,34514368300.0,366717200,8049487000
344,싸움의 기술,10030351,17367735244.0,329987000000.0,460596500,66007533500
345,B형 남자친구,10055134,7164618750.0,14329237500.0,7004658500,7324579000
346,우리는 형제입니다,20127194,15438677649.0,308774000000.0,359247800,48700887413
347,원더풀 라디오,20111405,6723806917.0,40342841500.0,363899000,19838443000
348,아저씨,10052465,26742042700.0,133710000000.0,11090682500,47102707500
349,달콤한 인생,10055626,23303988239.0,326256000000.0,1159253000,88908642769
350,"고산자, 대동여지도",20278549,36752148434.0,147009000000.0,599122500,93042352648
351,백야행,10087518,11578478561.0,150520000000.0,934380300,52355568637
352,S 다이어리,10001901,25470824016.0,254708000000.0,1651122533,93042352648
353,방가? 방가!,10005410,16528508726.0,363627000000.0,314542400,88908642769
354,동창생,10072431,12851262605.0,77107575630.0,209955500,32373120927
355,지금 사랑하는 사람과 살고 있습니까?,10028989,7364739057.0,95741607739.0,937877400,13579712500
356,인랑,10000558,24448106931.0,464514000000.0,1859615500,77319445264
357,살인의뢰,10004396,11196881099.0,134363000000.0,262191500,44098470600
358,가족,10037539,7967388451.0,79673884505.0,1073144500,21774884000
359,최강로맨스,20260509,25541438247.0,76624314740.0,363098800,58167040145
360,뽀로로 극장판 슈퍼썰매 대모험,10055966,4409368675.0,17637474700.0,1289929200,6826959500
361,돈 크라이 마미,10053708,12412433618.0,124124000000.0,951843500,60175111015
362,평행이론,10070224,4815589729.0,33709128100.0,359247800,13200412500
363,분홍신,10006380,25105599624.0,351478000000.0,1849140000,93665632500
364,미스터 소크라테스,10004028,8240750705.0,74166756349.0,217269000,23790276987
365,점쟁이들,10004744,8035217370.0,136599000000.0,515508500,57570773000
366,전국노래자랑,10005410,16528508726.0,363627000000.0,314542400,88908642769
367,주홍글씨,10035898,2002818720.0,10014093600.0,625824000,6648786000
368,짝패,20125469,35977889975.0,143912000000.0,728085000,66715881300
369,짝패,20125470,14119596500.0,28239193000.0,2119494000,26119699000
370,좋아해줘,20111397,9769572284.0,39078289137.0,1974664500,22209675300
371,극장판 헬로카봇 : 백악기 시대,20237906,6538927100.0,6538927100.0,6538927100,6538927100
372,역도산,10035772,19385766013.0,426487000000.0,759481000,81025004000
373,레슬러,10054128,23729662569.0,949187000000.0,311840500,105169264250
374,체포왕,10029293,16931436810.0,169314000000.0,362910000,81025004000
375,손님,10019065,28834863777.0,663202000000.0,230047000,135753322310
376,연애술사,10049825,4586739000.0,9173478000.0,2789824500,6383653500
377,만추,10088975,17281196926.0,138250000000.0,253673000,63783051326
